chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,roi,position
,,438098,0,0,0,0,0,3,3.0,,0,Fábio,0.0,1,False,,,5.5,438098.jpg,2.2,Ferreira Vieira,0.1,False,,a,1,3,24,0,0,0,0,0.0,4.4,Fábio Vieira,290,1,3,1,2,0,0,0,0,1,0,0,67,82.8,88.8,85.0,25.5,2,1.25,0.64,1.89,1.83,335,146,267,146,253,130,321,147,,,,,4.0,,0.39,0.0,0.2,0.59,0.57,0.62,140,86,467,188,250,104,458,154,0.62,0.31,43.63636363636363,MID
,,205651,0,0,0,0,0,4,3.2,,0,Gabriel,0.0,2,False,,,7.0,205651.jpg,3.1,Fernando de Jesus,1.1,False,,a,1,3,85,0,0,0,0,0.0,12.1,G.Jesus,1470,4,7,11,11,0,0,0,6,0,0,10,271,364.8,403.0,756.0,152.7,17,6.27,3.26,9.53,11.67,184,20,84,10,30,16,71,16,,,,,,,0.38,0.0,0.2,0.58,0.71,0.67,29,12,546,54,143,22,177,31,1.04,0.67,121.42857142857143,FWD
,,226597,0,0,0,0,0,2,4.2,,0,Gabriel,0.0,3,False,,,6.0,226597.jpg,4.1,dos Santos Magalhães,12.5,False,,a,1,3,149,0,0,0,0,0.0,24.8,Gabriel,3042,3,1,16,26,1,0,0,4,0,0,8,676,675.8,121.9,379.0,117.9,34,4.48,0.65,5.13,26.18,59,18,238,73,91,4,110,21,,,,,,,0.13,0.0,0.02,0.15,0.77,0.77,81,6,501,187,42,6,29,10,1.01,0.47,248.33333333333334,DEF
,,219847,0,0,0,0,0,4,3.5,,0,Kai,0.0,4,False,,,8.0,219847.jpg,4.9,Havertz,14.2,False,,a,1,3,180,0,0,0,0,0.0,22.5,Havertz,2627,13,10,16,22,0,0,0,11,0,0,15,515,763.2,613.4,1027.0,240.2,30,12.36,3.88,16.23,21.03,43,8,47,2,14,7,19,5,,,,,3.0,,0.42,0.0,0.13,0.55,0.72,0.75,12,4,565,65,18,4,24,5,1.03,0.55,225.0,FWD
,,463748,0,0,0,0,0,1,2.0,,0,Karl,0.0,5,False,,,4.0,463748.jpg,0.0,Hein,0.2,False,,a,1,3,0,0,0,0,0,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,443,52,434,40,408,24,446,52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,555,60,55,23,445,52,361,54,0.0,0.0,0.0,GKP
,,445122,0,0,0,0,0,2,3.8,,0,Jurriën,0.0,6,False,,,5.5,445122.jpg,0.0,Timber,2.3,False,,a,1,3,0,0,0,0,0,0.0,0.0,J.Timber,70,0,0,0,0,0,0,0,2,0,0,0,4,5.8,4.7,2.0,1.3,1,0.00,0.02,0.02,0.28,385,133,359,132,360,132,390,134,,,,,,,0.0,0.0,0.03,0.03,0.36,0.0,145,17,472,183,563,191,124,44,1.29,0.0,0.0,DEF
,,85955,0,0,0,0,0,3,2.5,,0,Jorge Luiz,0.0,7,False,,,5.0,85955.jpg,1.8,Frello Filho,0.3,False,,a,1,3,44,0,0,0,0,0.0,8.8,Jorginho,913,0,2,4,11,0,0,0,1,0,0,1,182,165.4,187.8,16.0,36.8,10,0.10,1.77,1.87,8.42,293,127,187,115,334,168,292,133,,,,,,,0.01,0.0,0.17,0.18,0.83,1.08,171,105,281,65,300,129,346,113,0.99,0.39,88.0,MID
,,440854,0,0,0,0,0,2,3.4,,0,Jakub,0.0,8,False,,,5.0,440854.jpg,3.4,Kiwior,0.3,False,,a,1,3,67,0,0,0,0,0.0,13.4,Kiwior,942,1,3,6,8,0,0,0,1,0,0,1,260,228.8,106.9,90.0,42.7,11,0.74,0.60,1.34,5.15,260,96,254,81,247,81,274,95,,,,,,,0.07,0.0,0.06,0.13,0.49,0.76,259,35,369,169,89,16,321,121,1.05,0.57,134.0,DEF
,,444145,0,0,0,0,0,3,3.4,,0,Gabriel,0.0,9,False,,,7.0,444145.jpg,3.4,Martinelli Silva,4.0,False,,a,1,3,118,0,0,0,0,0.0,16.9,Martinelli,2010,6,5,10,23,0,0,0,1,0,0,6,404,500.4,717.1,795.0,200.8,24,6.36,5.18,11.53,14.88,126,56,35,30,25,12,36,25,,,,,,,0.28,0.0,0.23,0.51,0.67,1.03,32,18,549,240,98,45,89,28,1.07,0.45,168.57142857142858,MID
,,200641,0,0,0,0,0,3,2.5,,0,Reiss,0.0,10,False,,,5.0,200641.jpg,1.1,Nelson,0.1,False,,a,1,3,16,0,0,0,0,0.0,3.2,Nelson,256,0,0,1,1,0,0,0,1,0,0,0,58,42.8,87.7,39.0,16.9,1,0.18,0.43,0.61,2.18,357,159,269,147,296,154,338,154,4.0,,,,,,0.06,0.0,0.15,0.21,0.77,0.35,209,132,319,92,357,163,522,210,0.35,0.35,32.0,MID
,,205533,0,0,0,0,0,4,3.0,,0,Eddie,0.0,11,False,,,6.0,205533.jpg,2.6,Nketiah,0.4,False,,a,1,3,71,0,0,0,0,0.0,11.8,Nketiah,1065,5,4,6,10,0,0,0,3,0,0,5,206,235.0,136.3,417.0,77.2,10,4.65,0.53,5.18,10.21,257,30,223,27,79,27,190,29,,,,,,,0.39,0.0,0.04,0.43,0.86,0.85,76,21,496,45,195,30,304,50,0.85,0.51,118.33333333333334,FWD
,,499175,0,0,0,0,0,3,2.0,,0,Ethan,0.0,12,False,,,4.5,499175.jpg,1.0,Nwaneri,0.2,False,,a,1,3,1,0,0,0,0,0.0,0.2,Nwaneri,13,0,0,0,0,0,0,0,0,0,0,0,3,2.0,12.3,4.0,1.8,0,0.00,0.05,0.05,0.13,395,183,344,171,349,175,385,178,,,,,,,0.0,0.0,0.35,0.35,0.9,0.0,468,231,239,35,374,172,442,147,0.0,0.0,2.2222222222222223,MID
,,184029,0,0,0,0,0,3,3.9,,0,Martin,0.0,13,False,,,8.5,184029.jpg,5.3,Ødegaard,16.9,False,,a,1,3,186,0,0,0,0,0.0,21.9,Ødegaard,3098,8,11,19,23,0,0,0,2,0,0,26,703,910.4,1499.4,757.0,317.0,35,7.53,10.16,17.69,25.26,23,11,3,3,29,14,6,6,3.0,,1.0,,2.0,,0.22,0.0,0.3,0.52,0.73,0.67,10,8,567,248,12,9,21,7,1.02,0.55,218.82352941176472,MID
