name,position,team_name,ict_index_gw,opponent_team,starts_gw,total_points_gw,transfers_balance,value,was_home,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id,opponent_team_difficulty,name_substring
Femi Seriki,DEF,Sheffield Utd,0.0,8,0,0,0,40,True,,,,,2.8684210526315788,Seriki
Jack Hinshelwood,MID,Brighton,0.0,12,0,0,0,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.763157894736842,Hinshelwood
Jadon Sancho,MID,Man Utd,2.3,20,0,1,0,70,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Sancho
Rhys Norrington-Davies,DEF,Sheffield Utd,0.0,8,0,0,0,40,True,,,,,2.8684210526315788,Norrington-Davies
Vitaly Janelt,MID,Brentford,4.3,18,1,2,0,55,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Janelt
Ionuț Radu,GK,Bournemouth,0.0,19,0,0,0,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Radu
Andre Brooks,MID,Sheffield Utd,0.0,8,0,1,0,45,True,,,,,2.8684210526315788,Brooks
Jack Grealish,MID,Man City,0.0,6,0,0,0,75,False,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.8157894736842106,Grealish
Emil Krafth,DEF,Newcastle,0.0,2,0,0,0,45,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8157894736842106,Krafth
Boubacar Traoré,MID,Wolves,0.0,14,0,0,0,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.8421052631578947,Traoré
Denis Franchi,GK,Burnley,0.0,13,0,0,0,40,True,,,,,2.736842105263157,Franchi
James Shea,GK,Luton,0.0,5,0,0,0,45,False,,,,,2.894736842105263,Shea
Curtis Jones,MID,Liverpool,0.6,7,0,1,0,50,False,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Jones
Reece James,DEF,Chelsea,5.0,11,1,2,0,55,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,James
Brandon Austin,GK,Spurs,0.0,4,0,0,0,40,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Austin
Robin Olsen,GK,Aston Villa,0.0,15,0,0,0,40,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Olsen
Ben Osborn,MID,Sheffield Utd,0.0,8,1,2,0,50,True,,,,,2.8684210526315788,Osborn
Amad Diallo,MID,Man Utd,0.0,20,0,0,0,45,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Diallo
Anthony Elanga,MID,Nott'm Forest,4.2,1,0,4,0,50,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Elanga
Oliver Norwood,MID,Sheffield Utd,0.0,8,1,2,0,50,True,,,,,2.8684210526315788,Norwood
Harry Toffolo,DEF,Nott'm Forest,0.0,1,0,0,0,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Toffolo
Bernardo Veiga de Carvalho e Silva,MID,Man City,1.1,6,1,3,0,65,False,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.8157894736842106,Silva
Charlie Taylor,DEF,Burnley,0.0,13,0,0,0,40,True,,,,,2.736842105263157,Taylor
Ivan Toney,FWD,Brentford,0.0,18,0,0,0,80,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Toney
Nuno Varela Tavares,DEF,Arsenal,0.0,16,0,0,0,40,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Tavares
Alex Murphy,DEF,Newcastle,0.0,2,0,0,0,40,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8157894736842106,Murphy
Eddie Nketiah,FWD,Arsenal,7.2,16,1,8,0,55,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Nketiah
Benoît Badiashile,DEF,Chelsea,0.0,11,0,0,0,45,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Badiashile
Emile Smith Rowe,MID,Arsenal,0.0,16,0,0,0,55,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Rowe
Jarell Quansah,DEF,Liverpool,0.0,7,0,0,0,40,False,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Quansah
Ben Chilwell,DEF,Chelsea,6.3,11,1,7,0,55,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Chilwell
Philippe Coutinho Correia,MID,Aston Villa,0.5,15,0,1,0,60,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Correia
Tim Iroegbunam,MID,Aston Villa,0.0,15,0,0,0,45,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Iroegbunam
Andy Lonergan,GK,Everton,0.0,10,0,0,0,40,True,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Lonergan
Pablo Sarabia,MID,Wolves,5.5,14,1,3,0,50,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.8421052631578947,Sarabia
Kieffer Moore,FWD,Bournemouth,0.9,19,0,1,0,50,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Moore
Wayne Hennessey,GK,Nott'm Forest,0.0,1,0,0,0,40,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Hennessey
Remi Matthews,GK,Crystal Palace,0.0,17,0,0,0,40,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,Matthews
Ibrahima Konaté,DEF,Liverpool,2.7,7,1,2,0,50,False,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Konaté
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2.5,2,1,2,0,60,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8157894736842106,Lira
Marcus Tavernier,MID,Bournemouth,0.0,19,0,0,0,55,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Tavernier
Matthew Cox,GK,Brentford,0.0,18,0,0,0,40,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Cox
Manuel Akanji,DEF,Man City,2.3,6,1,6,0,50,False,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.8157894736842106,Akanji
Matheus França de Oliveira,MID,Crystal Palace,0.0,17,0,0,0,50,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,Oliveira
Lucas Tolentino Coelho de Lima,MID,West Ham,6.1,3,1,1,0,60,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.894736842105263,Lima
Rasmus Højlund,FWD,Man Utd,0.0,20,0,0,0,70,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Højlund
Luca Koleosho,MID,Burnley,0.0,13,1,2,0,50,True,,,,,2.736842105263157,Koleosho
Rayan Aït-Nouri,DEF,Wolves,3.2,14,1,1,0,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.8421052631578947,Aït-Nouri
Calum Chambers,DEF,Aston Villa,0.0,15,0,0,0,40,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Chambers
Ben Davies,DEF,Spurs,0.0,4,0,0,0,45,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Davies
Emerson Palmieri dos Santos,DEF,West Ham,5.0,3,1,1,0,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.894736842105263,Santos
Luis Díaz,MID,Liverpool,8.3,7,1,8,0,75,False,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Díaz
Lawrence Vigouroux,GK,Burnley,0.0,13,0,0,0,40,True,,,,,2.736842105263157,Vigouroux
Jakub Moder,MID,Brighton,0.0,12,0,0,0,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.763157894736842,Moder
Dara Costelloe,MID,Burnley,0.0,13,0,0,0,45,True,,,,,2.736842105263157,Costelloe
John Stones,DEF,Man City,0.0,6,0,0,0,55,False,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.8157894736842106,Stones
Idrissa Gueye,MID,Everton,3.9,10,1,2,0,50,True,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Gueye
Harry Wilson,MID,Fulham,4.9,9,1,3,0,55,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8684210526315788,Wilson
Marcus Bettinelli,GK,Chelsea,0.0,11,0,0,0,40,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Bettinelli
Malcolm Ebiowei,MID,Crystal Palace,0.0,17,0,0,0,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,Ebiowei
Benjamin White,DEF,Arsenal,2.0,16,1,1,0,55,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,White
Teden Mengi,DEF,Man Utd,0.0,20,0,0,0,40,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Mengi
Ezri Konsa Ngoyo,DEF,Aston Villa,1.5,15,1,0,0,45,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Ngoyo
Thomas Partey,MID,Arsenal,5.3,16,1,2,0,50,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Partey
Jamal Lewis,DEF,Newcastle,0.0,2,0,0,0,40,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8157894736842106,Lewis
Leon Bailey,MID,Aston Villa,0.4,15,1,1,0,55,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Bailey
Ethan Horvath,GK,Nott'm Forest,0.0,1,0,0,0,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Horvath
Luke Plange,FWD,Crystal Palace,0.0,17,0,0,0,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,Plange
Luke Shaw,DEF,Man Utd,3.9,20,1,5,0,55,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Shaw
Mario Lemina,MID,Wolves,2.3,14,1,1,0,50,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.8421052631578947,Lemina
Andi Zeqiri,FWD,Brighton,0.0,12,0,0,0,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.763157894736842,Zeqiri
James Tarkowski,DEF,Everton,1.9,10,1,2,0,45,True,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Tarkowski
Kristoffer Ajer,DEF,Brentford,1.7,18,1,1,0,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Ajer
Brennan Johnson,MID,Nott'm Forest,0.5,1,1,2,0,60,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Johnson
Jake O'Brien,DEF,Crystal Palace,0.0,17,0,0,0,40,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,O'Brien
Ryan Sessegnon,DEF,Spurs,0.0,4,0,0,0,45,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Sessegnon
Justin Kluivert,MID,Bournemouth,0.0,19,0,1,0,50,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Kluivert
Viljami Sinisalo,GK,Aston Villa,0.0,15,0,0,0,40,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Sinisalo
Pierre-Emile Højbjerg,MID,Spurs,0.0,4,0,0,0,55,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Højbjerg
Lesley Ugochukwu,MID,Chelsea,0.0,11,0,1,0,45,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Ugochukwu
Arnaut Danjuma Groeneveld,MID,Everton,1.8,10,0,1,0,55,True,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Groeneveld
Callum Hudson-Odoi,MID,Chelsea,0.0,11,0,0,0,50,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Hudson-Odoi
Kieran Tierney,DEF,Arsenal,0.0,16,0,0,0,45,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Tierney
Tim Ream,DEF,Fulham,1.6,9,1,7,0,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8684210526315788,Ream
Phil Foden,MID,Man City,7.4,6,1,3,0,75,False,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.8157894736842106,Foden
Christian Eriksen,MID,Man Utd,0.1,20,0,1,0,60,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Eriksen
Fábio Silva,FWD,Wolves,7.9,14,0,1,0,55,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.8421052631578947,Silva
Alfie Whiteman,GK,Spurs,0.0,4,0,0,0,40,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Whiteman
James Tomkins,DEF,Crystal Palace,0.0,17,0,1,0,40,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.894736842105263,Tomkins
William Osula,FWD,Sheffield Utd,0.0,8,1,1,0,45,True,,,,,2.8684210526315788,Osula
Ollie Watkins,FWD,Aston Villa,8.5,15,1,5,0,80,False,2.631578947368421,3.0,2.8157894736842106,2.0,2.8157894736842106,Watkins
Gabriel dos Santos Magalhães,DEF,Arsenal,0.0,16,0,1,0,50,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Magalhães
Takehiro Tomiyasu,DEF,Arsenal,2.3,16,0,1,0,45,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Tomiyasu
Harrison Reed,MID,Fulham,2.8,9,1,3,0,50,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8684210526315788,Reed
Manor Solomon,MID,Spurs,0.0,4,0,0,0,55,False,2.631578947368421,3.0,2.8157894736842106,18.0,2.894736842105263,Solomon
Marcus Oliveira Alencar,MID,Arsenal,0.0,16,0,0,0,45,True,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.894736842105263,Alencar
Eric Bailly,DEF,Man Utd,0.0,20,0,0,0,40,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Bailly
Hakim Ziyech,MID,Chelsea,0.0,11,0,0,0,55,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.894736842105263,Ziyech
Gianluca Scamacca,FWD,West Ham,0.0,3,0,0,0,60,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.894736842105263,Scamacca
Christian Nørgaard,MID,Brentford,1.7,18,1,2,0,55,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Nørgaard
Sean Longstaff,MID,Newcastle,0.0,2,0,1,0,50,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8157894736842106,Longstaff
Pelly Ruddock Mpanzu,MID,Luton,0.0,5,1,2,0,50,False,,,,,2.894736842105263,Mpanzu
Danny Ings,FWD,West Ham,1.0,3,0,1,0,60,False,2.6842105263157894,3.1052631578947367,2.894736842105263,19.0,2.894736842105263,Ings
Donny van de Beek,MID,Man Utd,0.0,20,0,0,0,50,True,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Beek
Giulian Biancone,DEF,Nott'm Forest,0.0,1,0,0,0,40,False,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.736842105263157,Biancone
